timestamp;buyer;seller;symbol;currency;price;quantity
4500;;;VEV_5400;XIRECS;18.0;2
4500;;;VEV_5500;XIRECS;8.0;2
4500;;;VEV_6000;XIRECS;0.0;2
4500;;;VEV_6500;XIRECS;0.0;2
5100;;;HYDROGEL_PACK;XIRECS;9960.0;4
5300;;;VEV_4000;XIRECS;1264.0;2
6100;;;VELVETFRUIT_EXTRACT;XIRECS;5255.0;3
6200;;;HYDROGEL_PACK;XIRECS;9955.0;5
9400;;;VELVETFRUIT_EXTRACT;XIRECS;5244.0;8
9600;;;VEV_5400;XIRECS;16.0;4
9600;;;VEV_5500;XIRECS;7.0;4
9600;;;VEV_6000;XIRECS;0.0;4
9600;;;VEV_6500;XIRECS;0.0;4
10400;;;VELVETFRUIT_EXTRACT;XIRECS;5240.0;12
11800;;;VEV_5500;XIRECS;7.0;4
11800;;;VEV_6000;XIRECS;0.0;4
11800;;;VEV_6500;XIRECS;0.0;4
14300;;;VELVETFRUIT_EXTRACT;XIRECS;5238.0;6
14800;;;VELVETFRUIT_EXTRACT;XIRECS;5232.0;6
14800;;;VEV_5300;XIRECS;42.0;4
14800;;;VEV_5400;XIRECS;14.0;4
14800;;;VEV_5500;XIRECS;6.0;4
14800;;;VEV_6000;XIRECS;0.0;4
14800;;;VEV_6500;XIRECS;0.0;4
15000;;;HYDROGEL_PACK;XIRECS;9966.0;4
16700;;;VEV_4000;XIRECS;1221.0;2
16700;;;VEV_5300;XIRECS;41.0;2
16700;;;VEV_5400;XIRECS;14.0;2
16700;;;VEV_5500;XIRECS;6.0;2
16700;;;VEV_6000;XIRECS;0.0;2
16700;;;VEV_6500;XIRECS;0.0;2
17300;;;VEV_4000;XIRECS;1221.0;1
17400;;;VELVETFRUIT_EXTRACT;XIRECS;5230.0;8
17900;;;VEV_4000;XIRECS;1243.0;1
19300;;;VELVETFRUIT_EXTRACT;XIRECS;5226.0;5
20200;;;VELVETFRUIT_EXTRACT;XIRECS;5224.0;5
22800;;;HYDROGEL_PACK;XIRECS;9946.0;6
25700;;;VEV_4000;XIRECS;1241.0;3
29300;;;VELVETFRUIT_EXTRACT;XIRECS;5237.0;4
30800;;;HYDROGEL_PACK;XIRECS;9940.0;2
31400;;;HYDROGEL_PACK;XIRECS;9953.0;3
31700;;;VELVETFRUIT_EXTRACT;XIRECS;5237.0;4
32000;;;HYDROGEL_PACK;XIRECS;9938.0;5
32600;;;VELVETFRUIT_EXTRACT;XIRECS;5240.0;5
32800;;;VELVETFRUIT_EXTRACT;XIRECS;5238.0;7
33600;;;HYDROGEL_PACK;XIRECS;9948.0;6
36200;;;VEV_4000;XIRECS;1244.0;3
36500;;;VELVETFRUIT_EXTRACT;XIRECS;5232.0;7
37400;;;HYDROGEL_PACK;XIRECS;9936.0;4
38500;;;VEV_5500;XIRECS;6.0;5
38500;;;VEV_6000;XIRECS;0.0;5
38500;;;VEV_6500;XIRECS;0.0;5
38700;;;VELVETFRUIT_EXTRACT;XIRECS;5228.0;8
39400;;;VELVETFRUIT_EXTRACT;XIRECS;5234.0;5
39400;;;VELVETFRUIT_EXTRACT;XIRECS;5233.0;9
39800;;;VELVETFRUIT_EXTRACT;XIRECS;5232.0;4
40400;;;VEV_5300;XIRECS;41.0;4
40400;;;VEV_5400;XIRECS;14.0;4
40400;;;VEV_5500;XIRECS;6.0;4
40400;;;VEV_6000;XIRECS;0.0;4
40400;;;VEV_6500;XIRECS;0.0;4
40900;;;HYDROGEL_PACK;XIRECS;9951.0;5
41300;;;HYDROGEL_PACK;XIRECS;9953.0;5
43400;;;VEV_5400;XIRECS;13.0;5
43400;;;VEV_5500;XIRECS;6.0;5
43400;;;VEV_6000;XIRECS;0.0;5
43400;;;VEV_6500;XIRECS;0.0;5
43600;;;VELVETFRUIT_EXTRACT;XIRECS;5229.0;4
43900;;;HYDROGEL_PACK;XIRECS;9952.0;6
45200;;;HYDROGEL_PACK;XIRECS;9961.0;2
45400;;;VELVETFRUIT_EXTRACT;XIRECS;5241.0;8
47700;;;VELVETFRUIT_EXTRACT;XIRECS;5243.0;4
48300;;;HYDROGEL_PACK;XIRECS;9960.0;3
48900;;;VELVETFRUIT_EXTRACT;XIRECS;5241.0;6
49800;;;VELVETFRUIT_EXTRACT;XIRECS;5244.0;3
50200;;;VEV_4000;XIRECS;1236.0;2
50300;;;VEV_4000;XIRECS;1257.0;3
50700;;;VEV_5400;XIRECS;16.0;5
50700;;;VEV_5500;XIRECS;7.0;5
50700;;;VEV_6000;XIRECS;0.0;5
50700;;;VEV_6500;XIRECS;0.0;5
51700;;;VELVETFRUIT_EXTRACT;XIRECS;5243.0;4
52400;;;HYDROGEL_PACK;XIRECS;9961.0;5
52800;;;VEV_5400;XIRECS;16.0;3
52800;;;VEV_5500;XIRECS;7.0;3
52800;;;VEV_6000;XIRECS;0.0;3
52800;;;VEV_6500;XIRECS;0.0;3
53000;;;HYDROGEL_PACK;XIRECS;9961.0;4
53400;;;VEV_5500;XIRECS;7.0;2
53400;;;VEV_6000;XIRECS;0.0;2
53400;;;VEV_6500;XIRECS;0.0;2
53800;;;VEV_4000;XIRECS;1255.0;2
54400;;;VEV_4000;XIRECS;1234.0;3
57600;;;VEV_4000;XIRECS;1257.0;3
59300;;;HYDROGEL_PACK;XIRECS;9949.0;4
59600;;;VELVETFRUIT_EXTRACT;XIRECS;5244.0;4
60300;;;VELVETFRUIT_EXTRACT;XIRECS;5245.0;5
61100;;;HYDROGEL_PACK;XIRECS;9961.0;2
61400;;;HYDROGEL_PACK;XIRECS;9962.0;2
62100;;;VELVETFRUIT_EXTRACT;XIRECS;5243.0;6
62600;;;VEV_4000;XIRECS;1254.0;1
63100;;;VEV_4000;XIRECS;1252.0;3
